,model_name,accuracy_score,f1_score,jaccard_score,diff,scores_cross_val
0,lgr,0.8272023233301065,0.8396946564885497,0.7236842105263158,0.7968603967816573,0.8280869275506143
1,tree,0.8039690222652468,0.8171557562076749,0.6908396946564885,0.7706548243764701,0.79927256135623
2,rf,0.8262342691190707,0.8353966070609812,0.7173228346456693,0.7929845702752404,0.8205800533789728
3,xgboost,0.8523717328170377,0.8496796451453918,0.7386461011139674,0.8135658263587991,0.8490314872277271
4,gbc,0.8543078412391094,0.8536703937773457,0.7446988973706531,0.817559044129036,0.8581111708157901
5,knn,0.7696030977734754,0.7798334875115635,0.6391205458680819,0.7295190437177069,0.7564173956748664
